,alpha
5748,0.0
2743,1.0
16479,1.0
15556,-1.0
3413,0.0
7084,-1.0
14173,0.0
3956,1.0
11228,1.0
8325,0.0
6288,1.0
3988,1.0
15379,-1.0
3116,0.0
11924,0.0
7361,0.0
16384,0.0
3677,1.0
17196,0.0
1692,-1.0
16980,1.0
10267,-1.0
6364,1.0
4906,1.0
4316,1.0
17014,1.0
1983,0.0
7061,0.0
7298,0.0
1754,0.0
4106,-1.0
16360,0.0
15096,1.0
17073,1.0
9333,-1.0
11233,0.0
819,1.0
3178,-1.0
9828,0.0
15573,-1.0
8192,0.0
13953,1.0
1101,1.0
2014,1.0
14976,1.0
17459,1.0
14384,-1.0
14948,1.0
16557,0.0
11126,1.0
2281,1.0
13968,0.0
15445,-1.0
5919,1.0
3412,1.0
11598,-1.0
16592,1.0
14291,0.0
14319,0.0
9482,1.0
1360,-1.0
6665,0.0
6942,0.0
221,0.0
4627,0.0
4122,1.0
7709,0.0
9403,0.0
16961,0.0
6747,1.0
8378,1.0
6171,0.0
11319,-1.0
10745,-1.0
10922,-1.0
5111,-1.0
4790,0.0
2039,0.0
5245,1.0
10222,0.0
13325,-1.0
7945,1.0
14813,1.0
11601,-1.0
10445,1.0
7101,1.0
15345,0.0
13030,1.0
14230,-1.0
1264,0.0
7081,1.0
9424,1.0
6440,1.0
8117,1.0
15416,0.0
2565,0.0
15273,-1.0
3227,1.0
9588,-1.0
7637,0.0
1640,-1.0
9650,1.0
15162,0.0
2975,0.0
11155,-1.0
2362,1.0
10553,-1.0
13684,0.0
1695,0.0
6613,1.0
17,0.0
7317,1.0
4946,1.0
14860,1.0
8483,0.0
13221,1.0
941,-1.0
999,1.0
13436,1.0
484,1.0
1884,0.0
6441,0.0
8770,-1.0
5219,0.0
2854,0.0
9077,1.0
10059,1.0
7092,1.0
1751,-1.0
2488,0.0
4943,0.0
11523,0.0
8827,0.0
5710,1.0
2491,0.0
6,1.0
2964,1.0
8032,1.0
15857,1.0
10825,-1.0
2113,1.0
12832,0.0
6780,1.0
12788,0.0
11716,0.0
1258,1.0
16325,0.0
6429,0.0
12733,1.0
3334,1.0
9239,1.0
16745,0.0
7078,1.0
13034,-1.0
4130,0.0
1911,0.0
16975,-1.0
10233,1.0
32,0.0
5421,0.0
5255,0.0
17247,-1.0
1661,-1.0
12382,0.0
3806,0.0
14877,-1.0
4699,1.0
2006,-1.0
9338,0.0
6828,0.0
3161,0.0
7998,1.0
17035,1.0
9445,1.0
3696,1.0
7714,-1.0
13848,1.0
7710,0.0
6682,0.0
14337,1.0
9533,0.0
5408,1.0
11505,0.0
7810,1.0
5619,0.0
11139,-1.0
4780,0.0
5050,-1.0
9632,1.0
13917,1.0
9772,1.0
5705,0.0
17536,-1.0
2458,-1.0
17514,1.0
10965,1.0
10475,0.0
2971,-1.0
11098,0.0
14639,1.0
1577,0.0
15066,1.0
1090,0.0
9689,-1.0
4987,1.0
1452,-1.0
8620,1.0
9516,0.0
7971,1.0
9565,0.0
2187,-1.0
1275,-1.0
14824,1.0
8553,-1.0
14184,0.0
16113,1.0
16482,1.0
6331,1.0
1653,-1.0
12847,1.0
12107,1.0
11864,0.0
10798,0.0
5375,1.0
14619,-1.0
12266,0.0
2294,1.0
14556,1.0
6755,0.0
9641,1.0
2845,-1.0
16125,1.0
12092,0.0
13577,0.0
1511,0.0
15383,-1.0
15244,0.0
4082,1.0
17367,0.0
13427,-1.0
5167,1.0
4241,-1.0
16663,-1.0
16789,0.0
10399,0.0
14189,0.0
16656,0.0
17489,1.0
10723,-1.0
12510,-1.0
10315,-1.0
3999,1.0
5829,1.0
15878,-1.0
8042,-1.0
5501,1.0
9074,1.0
3416,0.0
12165,-1.0
3884,0.0
9459,-1.0
3933,-1.0
1951,-1.0
9256,-1.0
14785,-1.0
1037,-1.0
7627,0.0
6858,0.0
16731,1.0
15521,0.0
7616,0.0
821,0.0
11355,1.0
9603,0.0
3777,1.0
6426,1.0
6516,0.0
5124,0.0
3839,0.0
1085,0.0
15115,1.0
2350,0.0
9988,1.0
6431,-1.0
5591,-1.0
9172,0.0
9799,0.0
7436,1.0
7064,1.0
13524,0.0
3196,0.0
9745,-1.0
10073,0.0
5806,0.0
15168,-1.0
2683,1.0
7373,0.0
14986,0.0
5901,-1.0
2310,1.0
9734,0.0
16948,1.0
4636,0.0
10181,0.0
9133,-1.0
12694,1.0
14676,1.0
12989,1.0
16326,-1.0
16602,-1.0
13642,0.0
867,0.0
11729,1.0
8610,0.0
17003,-1.0
3398,0.0
14458,0.0
6810,-1.0
15869,1.0
16274,0.0
7702,1.0
16291,0.0
8524,0.0
10344,1.0
11152,1.0
12141,1.0
7526,1.0
13923,0.0
1756,0.0
15188,0.0
15886,-1.0
1186,-1.0
1208,-1.0
4551,1.0
12263,1.0
5097,1.0
8854,-1.0
920,-1.0
7300,1.0
13629,1.0
15694,0.0
7166,0.0
12045,1.0
14944,-1.0
15634,0.0
8432,-1.0
7861,0.0
16002,0.0
3030,0.0
6243,0.0
15893,-1.0
9522,1.0
3603,-1.0
1538,1.0
16733,0.0
13919,0.0
16095,1.0
16446,1.0
3936,1.0
15010,0.0
10072,-1.0
8859,0.0
3018,0.0
13673,1.0
9379,0.0
10388,0.0
6184,1.0
2585,1.0
4486,1.0
6393,1.0
13573,-1.0
6484,0.0
14185,-1.0
13993,-1.0
4625,0.0
12680,-1.0
16674,-1.0
16191,1.0
911,1.0
3650,0.0
3764,0.0
5889,-1.0
16678,0.0
3084,-1.0
10321,-1.0
14429,1.0
17491,0.0
5932,1.0
16720,1.0
12241,0.0
12296,1.0
6829,1.0
8772,-1.0
16574,1.0
15994,1.0
4975,1.0
7511,1.0
8350,0.0
5380,1.0
1766,1.0
7838,1.0
4669,-1.0
9535,1.0
7589,1.0
4413,0.0
1245,1.0
9819,-1.0
2243,1.0
454,-1.0
3850,1.0
16940,-1.0
13359,-1.0
17557,0.0
9723,1.0
8396,0.0
17053,0.0
13270,0.0
16600,-1.0
4835,-1.0
4080,1.0
12315,0.0
9538,1.0
13430,0.0
3408,-1.0
2064,1.0
8872,-1.0
9627,1.0
1526,0.0
4421,-1.0
937,1.0
5663,0.0
16034,0.0
14778,0.0
2967,-1.0
2672,1.0
15322,1.0
3035,1.0
207,1.0
17178,-1.0
1892,1.0
4427,1.0
1739,1.0
9061,1.0
917,0.0
1476,1.0
2800,0.0
16677,1.0
5755,0.0
4151,-1.0
10020,-1.0
4464,-1.0
9894,0.0
1942,1.0
17262,1.0
14165,-1.0
5886,0.0
13376,0.0
10816,1.0
14892,-0.5
7888,0.0
5080,1.0
14795,-1.0
3372,1.0
12038,0.0
10341,-1.0
10514,-1.0
4720,1.0
3735,0.0
8537,-1.0
599,-1.0
7267,-1.0
219,-1.0
1072,1.0
1827,1.0
1726,0.0
8335,0.0
15022,0.0
543,-1.0
1965,1.0
11133,1.0
6413,1.0
5291,0.0
3097,1.0
4939,1.0
7420,1.0
17435,-1.0
15220,1.0
2382,0.0
16500,-1.0
571,0.0
8889,1.0
4756,0.0
15024,0.0
13634,1.0
8261,0.0
13803,0.0
16200,0.0
13697,1.0
9949,0.0
4961,0.0
5746,1.0
11966,1.0
3464,-1.0
12319,0.0
13645,1.0
5940,1.0
11570,1.0
15242,-1.0
339,0.0
9613,1.0
16207,-1.0
9088,0.0
6518,0.0
12948,0.0
13825,0.0
7958,1.0
13105,-1.0
2078,0.0
8958,-1.0
8194,0.0
15785,-1.0
17405,0.0
760,-1.0
14998,0.0
16000,0.0
10584,0.0
542,0.0
14504,-1.0
11666,0.0
2437,0.0
10147,-1.0
7294,0.0
13891,1.0
13171,1.0
3810,0.5
5925,0.0
1092,-1.0
929,1.0
5280,0.0
7182,1.0
15315,0.0
7824,0.0
3726,0.0
6147,-1.0
6210,-1.0
7845,1.0
3377,0.0
5055,0.0
17088,0.0
10728,0.0
15128,-1.0
19,-1.0
9847,1.0
7984,1.0
2938,0.0
16620,-1.0
12813,-1.0
5985,0.0
17539,0.0
11952,0.0
5880,0.0
8529,-1.0
11363,-1.0
14438,-1.0
11074,-1.0
4978,0.0
3423,0.0
5092,-1.0
13265,-1.0
17411,-1.0
14139,1.0
17413,1.0
4235,0.0
480,1.0
1368,1.0
5840,0.0
14376,-1.0
11445,1.0
10535,1.0
1689,0.0
16437,1.0
14685,1.0
9968,1.0
11161,1.0
6349,0.0
16742,1.0
3456,1.0
8708,1.0
11083,0.0
7129,0.0
11486,-1.0
11436,0.0
7740,1.0
13640,-1.0
13745,1.0
7476,0.0
2703,1.0
4029,1.0
3452,1.0
6445,1.0
11072,1.0
2327,-1.0
12387,0.0
7612,1.0
2755,0.0
7843,-1.0
13806,1.0
9180,1.0
13451,1.0
2188,0.0
3622,1.0
10322,-1.0
8740,1.0
6950,-1.0
6341,-1.0
3904,0.0
12639,0.0
12076,1.0
15251,-1.0
879,0.0
2645,1.0
4827,1.0
8063,0.0
6528,0.0
909,0.0
11005,0.0
8185,0.0
9912,-1.0
9453,1.0
7382,0.0
630,0.0
8237,0.0
3182,-1.0
17298,0.0
5253,-1.0
10871,0.0
6261,1.0
6358,0.0
10060,0.0
2504,-1.0
11708,1.0
12460,0.0
5278,1.0
6072,0.0
6822,0.0
5830,0.0
12599,1.0
2318,-1.0
9731,1.0
16878,1.0
594,1.0
6503,-1.0
15160,-1.0
5258,0.0
5638,0.0
10645,0.0
1410,0.0
8647,1.0
13457,1.0
13440,1.0
15591,0.0
9975,0.0
12608,-1.0
14058,-1.0
9305,0.0
3235,0.0
11464,-1.0
10507,1.0
8882,1.0
9573,0.0
7217,1.0
14751,-1.0
1655,1.0
14408,0.0
15343,1.0
7840,-1.0
7515,1.0
2169,0.0
2120,-1.0
2459,-1.0
9617,0.0
15501,1.0
5317,0.0
11996,-1.0
9852,0.0
14893,1.0
13497,1.0
5137,0.0
14557,1.0
14502,-1.0
9611,1.0
3657,1.0
4352,1.0
10105,1.0
809,1.0
14045,0.0
12333,-1.0
1586,-1.0
8104,0.0
13028,0.0
16499,0.0
5310,1.0
3074,-1.0
16282,0.0
2257,1.0
15478,0.0
15676,-1.0
2394,1.0
14073,1.0
9845,0.0
14970,0.0
12995,0.0
16971,0.0
17257,1.0
8223,1.0
15073,1.0
3645,0.0
12151,1.0
13166,1.0
133,1.0
981,-1.0
7682,-1.0
16946,0.0
8731,1.0
17501,1.0
12222,-1.0
128,-1.0
9137,0.0
8344,1.0
893,1.0
2626,1.0
13163,0.0
16195,-1.0
4940,1.0
6710,1.0
465,-1.0
14857,-1.0
7581,0.0
9969,-1.0
12158,-1.0
7535,1.0
15997,1.0
12604,0.0
8135,1.0
11302,1.0
14380,-1.0
10605,1.0
15919,-1.0
15817,1.0
3548,-1.0
13685,-1.0
13213,1.0
16544,1.0
2387,0.0
9449,0.0
4745,1.0
14059,-1.0
1416,-1.0
5643,0.0
4510,1.0
15516,1.0
7401,1.0
8463,0.0
2321,1.0
6356,-1.0
6903,0.0
4873,-1.0
14318,0.0
11914,1.0
9872,1.0
10491,0.0
13612,-1.0
16931,1.0
16748,-1.0
12712,-1.0
11885,0.0
13550,0.0
15647,-1.0
12571,-1.0
12540,-1.0
5136,0.0
14480,0.0
13155,1.0
7193,1.0
13858,1.0
15450,0.0
1895,1.0
3262,1.0
14170,-1.0
5514,-1.0
312,1.0
15243,1.0
15005,0.0
4770,0.0
17043,-1.0
8569,1.0
11222,-1.0
304,0.0
406,1.0
10334,0.0
5251,1.0
8219,1.0
4483,1.0
5125,1.0
858,1.0
5195,1.0
14454,1.0
12379,1.0
12578,1.0
16204,1.0
3445,-1.0
13021,1.0
245,1.0
15655,0.0
13853,0.0
11266,0.0
15948,1.0
16025,1.0
6465,0.0
4461,0.0
7799,0.0
17442,0.0
13032,0.0
11234,-1.0
7801,1.0
6656,0.0
11461,1.0
4131,-1.0
14191,0.0
16065,-1.0
1047,0.0
617,1.0
8264,1.0
15770,-1.0
6424,-1.0
10658,-1.0
8030,1.0
11537,0.0
176,1.0
17027,1.0
15078,1.0
5414,1.0
4803,-1.0
16835,-1.0
4702,0.0
10877,-1.0
13851,0.0
1489,1.0
4119,0.0
8825,0.0
16703,1.0
6039,0.0
10985,0.0
645,1.0
9304,1.0
3242,0.0
3476,-1.0
8498,1.0
13503,-1.0
6845,-1.0
4072,0.0
7832,0.0
5294,1.0
908,-1.0
353,-1.0
8438,0.0
8910,1.0
