Unnamed: 0,alpha
10601,-1.0
10602,-1.0
10603,0.0
10604,-1.0
10605,-1.0
10606,0.0
10607,0.0
10608,1.0
10609,0.0
10610,0.0
10611,0.0
10612,0.0
10613,0.0
10614,0.0
10615,0.0
10616,0.0
10617,0.0
10618,-1.0
10619,0.0
10620,0.0
10621,0.0
10622,0.0
10623,1.0
10624,-1.0
10625,-1.0
10626,1.0
10627,1.0
10628,0.0
10629,0.0
10630,1.0
10631,-1.0
10632,1.0
10633,0.0
10634,0.0
10635,0.0
10636,1.0
10637,1.0
10638,0.0
10639,0.0
10640,1.0
10641,0.0
10642,-1.0
10643,1.0
10644,0.0
10645,0.0
10646,-1.0
10647,-1.0
10648,1.0
10649,0.0
10650,0.0
10651,1.0
10652,0.0
10653,0.0
10654,0.0
10655,0.0
10656,0.0
10657,0.0
10658,0.0
10659,1.0
10660,1.0
10661,1.0
10662,0.0
10663,0.0
10664,1.0
10665,0.0
10666,1.0
10667,1.0
10668,0.0
10669,0.0
10670,0.0
10671,0.0
10672,0.0
10673,-1.0
10674,-1.0
10675,0.0
10676,0.0
10677,0.0
10678,0.0
10679,0.0
10680,0.0
10681,-1.0
10682,-1.0
10683,-1.0
10684,0.0
10685,1.0
10686,-1.0
10687,0.0
10688,0.0
10689,0.0
10690,1.0
10691,0.0
10692,0.0
10693,0.0
10694,-1.0
10695,0.0
10696,1.0
10697,0.0
10698,0.0
10699,0.0
10700,0.0
10701,0.0
10702,0.0
10703,0.0
10704,0.0
10705,0.0
10706,1.0
10707,0.0
10708,0.0
10709,0.0
10710,0.0
10711,0.0
10712,0.0
10713,0.0
10714,0.0
10715,1.0
10716,0.0
10717,1.0
10718,0.0
10719,0.0
10720,0.0
10721,-1.0
10722,0.0
10723,-1.0
10724,1.0
10725,-1.0
10726,1.0
10727,0.0
10728,1.0
10729,0.0
10730,1.0
10731,0.0
10732,0.0
10733,-1.0
10734,0.0
10735,0.0
10736,-1.0
10737,0.0
10738,-1.0
10739,0.0
10740,0.0
10741,1.0
10742,-1.0
10743,0.0
10744,0.0
10745,0.0
10746,-1.0
10747,-1.0
10748,0.0
10749,0.0
10750,0.0
10751,0.0
10752,1.0
10753,0.0
10754,0.0
10755,-1.0
10756,0.0
10757,1.0
10758,-1.0
10759,0.0
10760,0.0
10761,0.0
10762,1.0
10763,1.0
10764,1.0
10765,0.0
10766,0.0
10767,0.0
10768,-1.0
10769,0.0
10770,1.0
10771,1.0
10772,0.0
10773,0.0
10774,0.0
10775,0.0
10776,0.0
10777,1.0
10778,0.0
10779,0.0
10780,1.0
10781,-1.0
10782,0.0
10783,0.0
10784,-1.0
10785,0.0
10786,-1.0
10787,0.0
10788,1.0
10789,0.0
10790,1.0
10791,0.0
10792,0.0
10793,-1.0
10794,0.0
10795,1.0
10796,0.0
10797,0.0
10798,1.0
10799,0.0
10800,0.0
10801,1.0
10802,0.0
10803,1.0
10804,0.0
10805,0.0
10806,1.0
10807,0.0
10808,1.0
10809,0.0
10810,1.0
10811,0.0
10812,0.0
10813,0.0
10814,0.0
10815,0.0
10816,0.0
10817,1.0
10818,0.0
10819,-1.0
10820,0.0
10821,0.0
10822,0.0
10823,0.0
10824,0.0
10825,0.0
10826,0.0
10827,0.0
10828,1.0
10829,0.0
10830,0.0
10831,0.0
10832,0.0
10833,0.0
10834,0.0
10835,0.0
10836,-1.0
10837,1.0
10838,0.0
10839,0.0
10840,1.0
10841,1.0
10842,1.0
10843,0.0
10844,-1.0
10845,1.0
10846,0.0
10847,-1.0
10848,-1.0
10849,0.0
10850,1.0
10851,0.0
10852,0.0
10853,-1.0
10854,-1.0
10855,0.0
10856,-1.0
10857,-1.0
10858,0.0
10859,0.0
10860,-1.0
10861,1.0
10862,1.0
10863,-1.0
10864,0.0
10865,0.0
10866,1.0
10867,0.0
10868,0.0
10869,0.0
10870,0.0
10871,1.0
10872,-1.0
10873,0.0
10874,-1.0
10875,1.0
10876,1.0
10877,1.0
10878,0.0
10879,1.0
10880,0.0
10881,0.0
10882,0.0
10883,1.0
10884,1.0
10885,1.0
10886,1.0
10887,1.0
10888,-1.0
10889,0.0
10890,1.0
10891,0.0
10892,0.0
10893,0.0
10894,0.0
10895,0.0
10896,-1.0
10897,1.0
10898,0.0
10899,1.0
10900,1.0
10901,0.0
10902,1.0
10903,0.0
10904,0.0
10905,-1.0
10906,-1.0
10907,0.0
10908,0.0
10909,-1.0
10910,1.0
10911,0.0
10912,0.0
10913,1.0
10914,0.0
10915,1.0
10916,0.0
10917,-1.0
10918,0.0
10919,0.0
10920,-1.0
10921,1.0
10922,0.0
10923,0.0
10924,0.0
10925,0.0
10926,0.0
10927,0.0
10928,-1.0
10929,0.0
10930,1.0
10931,0.0
10932,0.0
10933,0.0
10934,1.0
10935,0.0
10936,1.0
10937,-1.0
10938,0.0
10939,0.0
10940,0.0
10941,-1.0
10942,1.0
10943,0.0
10944,-1.0
10945,-1.0
10946,-1.0
10947,1.0
10948,0.0
10949,0.0
10950,-1.0
10951,0.0
10952,0.0
10953,0.0
10954,1.0
10955,0.0
10956,0.0
10957,1.0
10958,-1.0
10959,-1.0
10960,1.0
10961,0.0
10962,0.0
10963,0.0
10964,-1.0
10965,1.0
10966,0.0
10967,1.0
10968,0.0
10969,1.0
10970,-1.0
10971,0.0
10972,1.0
10973,0.0
10974,0.0
10975,1.0
10976,1.0
10977,0.0
