,alpha
10601,-1
10602,1
10603,1
10604,1
10605,1
10606,-1
10607,0
10608,1
10609,0
10610,0
10611,1
10612,0
10613,0
10614,1
10615,0
10616,-1
10617,1
10618,0
10619,-1
10620,0
10621,-1
10622,0
10623,1
10624,0
10625,0
10626,0
10627,-1
10628,0
10629,0
10630,0
10631,-1
10632,-1
10633,0
10634,0
10635,1
10636,-1
10637,-1
10638,1
10639,1
10640,0
10641,-1
10642,1
10643,1
10644,1
10645,1
10646,1
10647,0
10648,-1
10649,0
10650,1
10651,-1
10652,0
10653,1
10654,0
10655,0
10656,0
10657,-1
10658,0
10659,1
10660,0
10661,1
10662,0
10663,-1
10664,-1
10665,0
10666,0
10667,-1
10668,1
10669,1
10670,1
10671,-1
10672,1
10673,-1
10674,1
10675,1
10676,0
10677,0
10678,0
10679,0
10680,1
10681,0
10682,-1
10683,0
10684,0
10685,0
10686,1
10687,-1
10688,-1
10689,0
10690,-1
10691,0
10692,0
10693,1
10694,0
10695,0
10696,1
10697,0
10698,-1
10699,0
10700,0
10701,0
10702,0
10703,-1
10704,0
10705,-1
10706,0
10707,0
10708,0
10709,-1
10710,-1
10711,-1
10712,1
10713,0
10714,0
10715,0
10716,1
10717,-1
10718,0
10719,-1
10720,1
10721,0
10722,-1
10723,0
10724,0
10725,-1
10726,1
10727,0
10728,-1
10729,0
10730,-1
10731,-1
10732,-1
10733,1
10734,1
10735,1
10736,0
10737,0
10738,0
10739,-1
10740,0
10741,-1
10742,1
10743,0
10744,0
10745,0
10746,-1
10747,-1
10748,-1
10749,0
10750,-1
10751,0
10752,0
10753,0
10754,0
10755,1
10756,0
10757,1
10758,0
10759,0
10760,-1
10761,-1
10762,-1
10763,0
10764,-1
10765,-1
10766,1
10767,0
10768,-1
10769,0
10770,0
10771,1
10772,1
10773,1
10774,1
10775,1
10776,1
10777,0
10778,0
10779,-1
10780,-1
10781,1
10782,0
10783,-1
10784,1
10785,0
10786,1
10787,0
10788,1
10789,1
10790,0
10791,0
10792,-1
10793,1
10794,0
10795,1
10796,-1
10797,0
10798,-1
10799,1
10800,0
10801,0
10802,-1
10803,0
10804,0
10805,-1
10806,0
10807,-1
10808,-1
10809,1
10810,0
10811,0
10812,1
10813,0
10814,0
10815,0
10816,-1
10817,1
10818,1
10819,1
10820,0
10821,0
10822,0
10823,1
10824,0
10825,-1
10826,-1
10827,0
10828,1
10829,0
10830,0
10831,0
10832,1
10833,0
10834,-1
10835,-1
10836,-1
10837,-1
10838,-1
10839,1
10840,0
10841,0
10842,1
10843,1
10844,0
10845,1
10846,0
10847,-1
10848,1
10849,0
10850,-1
10851,0
10852,0
10853,1
10854,-1
10855,0
10856,1
10857,0
10858,0
10859,1
10860,0
10861,-1
10862,0
10863,0
10864,0
10865,0
10866,0
10867,-1
10868,-1
10869,1
10870,1
10871,0
10872,0
10873,0
10874,-1
10875,0
10876,0
10877,-1
10878,0
10879,0
10880,1
10881,-1
10882,0
10883,0
10884,-1
10885,-1
10886,-1
10887,0
10888,0
10889,0
10890,0
10891,-1
10892,0
10893,-1
10894,0
10895,0
10896,0
10897,1
10898,-1
10899,1
10900,0
10901,1
10902,1
10903,-1
10904,0
10905,1
10906,0
10907,0
10908,-1
10909,0
10910,-1
10911,0
10912,-1
10913,-1
10914,0
10915,0
10916,-1
10917,0
10918,0
10919,0
10920,0
10921,0
10922,1
10923,0
10924,1
10925,1
10926,-1
10927,0
10928,0
10929,0
10930,-1
10931,1
10932,0
10933,1
10934,0
10935,0
10936,0
10937,-1
10938,0
10939,0
10940,-1
10941,-1
10942,0
10943,0
10944,1
10945,0
10946,1
10947,1
10948,0
10949,-1
10950,0
10951,-1
10952,0
10953,0
10954,1
10955,0
10956,0
10957,-1
10958,0
10959,-1
10960,0
10961,-1
10962,1
10963,0
10964,1
10965,0
10966,-1
10967,0
10968,0
10969,0
10970,1
10971,0
10972,0
10973,0
10974,0
10975,1
10976,-1
10977,0
10978,0
10979,-1
10980,1
10981,-1
10982,0
10983,0
10984,1
10985,0
10986,0
10987,1
10988,1
10989,0
10990,0
10991,0
10992,0
10993,0
10994,0
10995,0
10996,0
10997,1
10998,0
10999,0
11000,-1
11001,-1
11002,1
11003,-1
11004,0
11005,-1
11006,0
11007,0
11008,0
11009,-1
11010,1
11011,0
11012,0
11013,-1
11014,0
11015,1
11016,0
11017,-1
11018,0
11019,0
11020,0
11021,-1
11022,0
11023,1
11024,0
11025,0
11026,0
11027,-1
11028,0
11029,0
11030,0
11031,0
11032,-1
11033,0
11034,1
11035,-1
11036,0
11037,0
11038,0
11039,0
11040,1
11041,0
11042,0
11043,-1
11044,1
11045,-1
11046,0
11047,0
11048,0
11049,0
11050,0
11051,0
11052,0
11053,0
11054,0
11055,0
11056,0
11057,0
11058,-1
11059,0
11060,1
11061,1
11062,0
11063,1
11064,-1
11065,1
11066,0
11067,0
11068,0
11069,1
11070,0
11071,0
11072,-1
11073,0
11074,0
11075,1
11076,0
11077,0
11078,-1
11079,-1
11080,-1
11081,1
11082,0
11083,0
11084,0
11085,1
11086,-1
11087,0
11088,0
11089,0
11090,1
11091,1
11092,1
11093,0
11094,0
11095,0
11096,0
11097,-1
11098,1
11099,0
11100,1
11101,0
11102,-1
11103,1
11104,0
11105,0
11106,0
11107,-1
11108,0
11109,0
11110,0
11111,0
11112,-1
11113,0
11114,-1
11115,0
11116,-1
11117,0
11118,1
11119,1
11120,0
11121,1
11122,0
11123,0
11124,0
11125,1
11126,0
11127,0
11128,0
11129,-1
11130,0
11131,0
11132,-1
11133,1
11134,0
11135,0
11136,1
11137,0
11138,-1
11139,-1
11140,1
11141,1
11142,0
11143,1
11144,0
11145,0
11146,-1
11147,0
11148,1
11149,-1
11150,-1
11151,0
11152,0
11153,-1
11154,0
11155,0
11156,0
11157,1
11158,0
11159,0
11160,0
11161,-1
11162,-1
11163,-1
11164,0
11165,1
11166,0
11167,0
11168,-1
11169,-1
11170,0
11171,0
11172,0
11173,1
11174,0
11175,1
11176,0
11177,0
11178,0
11179,0
11180,0
11181,-1
11182,-1
11183,0
11184,0
11185,0
11186,0
11187,-1
11188,1
11189,0
11190,-1
11191,0
11192,1
11193,0
11194,0
11195,-1
11196,1
11197,0
11198,0
11199,0
11200,0
11201,0
11202,0
11203,0
11204,0
11205,-1
11206,0
11207,0
11208,0
11209,0
11210,0
11211,0
11212,-1
11213,1
11214,1
11215,0
11216,0
11217,0
11218,0
11219,0
11220,0
11221,0
11222,0
11223,0
11224,-1
11225,-1
11226,1
11227,0
11228,0
11229,0
11230,0
11231,0
11232,0
11233,1
11234,1
11235,0
11236,0
11237,0
11238,0
11239,1
11240,-1
11241,-1
11242,1
11243,0
11244,-1
11245,-1
11246,-1
11247,0
11248,0
11249,0
11250,0
11251,0
11252,0
11253,0
11254,0
11255,0
11256,0
11257,0
11258,0
11259,0
11260,0
11261,1
11262,-1
11263,0
11264,0
11265,0
11266,0
11267,1
11268,-1
11269,0
11270,-1
11271,0
11272,0
11273,0
11274,0
11275,-1
11276,-1
11277,0
11278,0
11279,0
11280,1
11281,1
11282,-1
11283,-1
11284,-1
11285,0
11286,1
11287,-1
11288,1
11289,0
11290,-1
11291,1
11292,0
11293,0
11294,1
11295,-1
11296,1
11297,-1
11298,0
11299,0
11300,1
11301,0
11302,0
11303,-1
11304,-1
11305,-1
11306,0
11307,0
11308,0
11309,0
11310,1
11311,1
11312,-1
11313,0
11314,0
11315,-1
11316,-1
11317,0
11318,1
11319,0
11320,0
11321,-1
11322,0
11323,0
11324,-1
11325,-1
11326,-1
11327,-1
11328,0
11329,0
11330,1
11331,1
11332,0
11333,1
11334,1
11335,0
11336,-1
11337,0
11338,0
11339,1
11340,0
11341,0
11342,0
11343,0
11344,0
11345,0
11346,0
11347,0
11348,-1
11349,1
11350,0
11351,0
11352,-1
11353,-1
11354,1
11355,-1
11356,0
11357,1
11358,0
11359,0
11360,0
11361,0
11362,0
11363,0
11364,1
11365,0
11366,0
11367,1
11368,0
11369,0
11370,1
11371,-1
11372,1
11373,1
11374,1
11375,1
11376,1
11377,-1
11378,0
11379,0
11380,-1
11381,1
11382,-1
11383,0
11384,1
11385,0
11386,1
11387,0
11388,-1
11389,0
11390,1
11391,-1
11392,1
11393,-1
11394,0
11395,1
11396,-1
11397,-1
11398,0
11399,1
11400,-1
11401,-1
11402,1
11403,0
11404,-1
11405,0
11406,0
11407,0
11408,-1
11409,0
11410,1
11411,0
11412,0
11413,0
11414,0
11415,0
11416,0
11417,0
11418,0
11419,0
11420,0
11421,-1
11422,0
11423,1
11424,0
11425,1
11426,0
11427,-1
11428,0
11429,1
11430,0
11431,1
11432,-1
11433,-1
11434,-1
11435,0
11436,0
11437,-1
11438,1
11439,1
11440,-1
11441,0
11442,1
11443,-1
11444,-1
11445,0
11446,1
11447,0
11448,-1
11449,-1
11450,0
11451,1
