,alpha
5748,0
2743,-1
16479,1
15556,-1
3413,1
7084,0
14173,1
3956,-1
11228,0
8325,0
6288,1
3988,-1
15379,0
3116,1
11924,-1
7361,-1
16384,-1
3677,-1
17196,0
1692,1
16980,0
10267,0
6364,-1
4906,1
4316,0
17014,1
1983,0
7061,1
7298,0
1754,0
4106,-1
16360,-1
15096,0
17073,1
9333,0
11233,1
819,-1
3178,0
9828,1
15573,1
8192,0
13953,1
1101,0
2014,-1
14976,1
17459,1
14384,-1
14948,1
16557,1
11126,1
2281,-1
13968,0
15445,-1
5919,0
3412,1
11598,-1
16592,0
14291,0
14319,1
9482,1
1360,-1
6665,-1
6942,-1
221,0
4627,0
4122,1
7709,0
9403,0
16961,1
6747,0
8378,1
6171,0
11319,-1
10745,1
10922,-1
5111,-1
4790,0
2039,-1
5245,-1
10222,0
13325,0
7945,0
14813,-1
11601,-1
10445,1
7101,0
15345,1
13030,1
14230,-1
1264,0
7081,1
9424,1
6440,0
8117,1
15416,0
2565,1
15273,-1
3227,1
9588,-1
7637,0
1640,-1
9650,1
15162,-1
2975,0
11155,0
2362,0
10553,0
13684,0
1695,0
6613,1
17,1
7317,1
4946,-1
14860,1
8483,0
13221,0
941,1
999,-1
13436,0
484,0
1884,1
6441,0
8770,0
5219,0
2854,-1
9077,-1
10059,1
7092,0
1751,-1
2488,-1
4943,0
11523,0
8827,1
5710,1
2491,0
6,1
2964,-1
8032,-1
15857,1
10825,-1
2113,1
12832,0
6780,1
12788,1
11716,1
1258,-1
16325,1
6429,-1
12733,-1
3334,-1
9239,1
16745,0
7078,-1
13034,1
4130,-1
1911,0
16975,1
10233,0
32,1
5421,0
5255,-1
17247,-1
1661,-1
12382,0
3806,0
14877,0
4699,-1
2006,1
9338,-1
6828,1
3161,1
7998,-1
17035,-1
9445,-1
3696,-1
7714,-1
13848,0
7710,1
6682,0
14337,1
9533,0
5408,1
11505,1
7810,-1
5619,0
11139,-1
4780,1
5050,-1
9632,1
13917,-1
9772,1
5705,1
17536,-1
2458,0
17514,1
10965,1
10475,-1
2971,0
11098,0
14639,-1
1577,0
15066,0
1090,0
9689,1
4987,-1
1452,0
8620,0
9516,1
7971,0
9565,1
2187,-1
1275,1
14824,0
8553,-1
14184,-1
16113,-1
16482,-1
6331,1
1653,0
12847,-1
12107,1
11864,-1
10798,-1
5375,0
14619,-1
12266,1
2294,0
14556,-1
6755,-1
9641,-1
2845,0
16125,1
12092,0
13577,0
1511,1
15383,-1
15244,0
4082,1
17367,0
13427,1
5167,-1
4241,-1
16663,-1
16789,1
10399,0
14189,-1
16656,0
17489,1
10723,-1
12510,1
10315,0
3999,1
5829,1
15878,1
8042,0
5501,-1
9074,0
3416,1
12165,0
3884,0
9459,1
3933,-1
1951,-1
9256,1
14785,1
1037,0
7627,0
6858,0
16731,1
15521,0
7616,1
821,0
11355,0
9603,-1
3777,1
6426,1
6516,-1
5124,-1
3839,0
1085,0
15115,1
2350,0
9988,0
6431,-1
5591,-1
9172,0
9799,0
7436,1
7064,1
13524,1
3196,1
9745,-1
10073,-1
5806,0
15168,-1
2683,-1
7373,0
14986,0
5901,-1
2310,-1
9734,-1
16948,0
4636,1
10181,0
9133,0
12694,-1
14676,-1
12989,1
16326,-1
16602,-1
13642,0
867,1
11729,0
8610,0
17003,-1
3398,0
14458,0
6810,1
15869,0
16274,1
7702,0
16291,1
8524,1
10344,-1
11152,1
12141,-1
7526,0
13923,-1
1756,1
15188,0
15886,-1
1186,1
1208,-1
4551,-1
12263,1
5097,1
8854,-1
920,1
7300,-1
13629,1
15694,0
7166,0
12045,-1
14944,-1
15634,0
8432,-1
7861,0
16002,0
3030,0
6243,1
15893,0
9522,0
3603,0
1538,1
16733,1
13919,1
16095,-1
16446,1
3936,0
15010,0
10072,-1
8859,0
3018,0
13673,1
9379,0
10388,1
6184,0
2585,0
4486,0
6393,0
13573,1
6484,0
14185,0
13993,1
4625,1
12680,0
16674,-1
16191,1
911,-1
3650,0
3764,1
5889,1
16678,-1
3084,1
10321,-1
14429,1
17491,-1
5932,0
16720,-1
12241,0
12296,-1
6829,1
8772,-1
16574,-1
15994,1
4975,-1
7511,1
8350,0
5380,1
1766,1
7838,1
4669,-1
9535,0
7589,1
4413,0
1245,-1
9819,-1
2243,-1
454,0
3850,-1
16940,1
13359,-1
17557,-1
9723,0
8396,0
17053,0
13270,0
16600,1
4835,-1
4080,0
12315,0
9538,1
13430,0
3408,-1
2064,-1
8872,1
9627,1
1526,0
4421,-1
937,1
5663,0
16034,0
14778,1
2967,1
2672,-1
15322,-1
3035,-1
207,0
17178,-1
1892,0
4427,0
1739,1
9061,-1
917,-1
1476,0
2800,0
16677,0
5755,1
4151,1
10020,1
4464,-1
9894,1
1942,1
17262,0
14165,1
5886,0
13376,1
10816,-1
14892,-1
7888,-1
5080,0
14795,-1
3372,0
12038,0
10341,1
10514,0
4720,1
3735,1
8537,1
599,0
7267,-1
219,-1
1072,0
1827,1
1726,-1
8335,0
15022,0
543,-1
1965,-1
11133,-1
6413,0
5291,1
3097,-1
4939,1
7420,0
17435,1
15220,1
2382,0
16500,0
571,0
8889,-1
4756,0
15024,1
13634,0
8261,0
13803,0
16200,0
13697,-1
9949,0
4961,-1
5746,1
11966,0
3464,-1
12319,0
13645,1
5940,0
11570,-1
15242,-1
339,1
9613,0
16207,-1
9088,1
6518,-1
12948,0
13825,-1
7958,-1
13105,1
2078,0
8958,-1
8194,0
15785,-1
17405,1
760,-1
14998,0
16000,0
10584,0
542,1
14504,0
11666,0
2437,-1
10147,0
7294,0
13891,1
13171,0
3810,1
5925,-1
1092,-1
929,0
5280,0
7182,1
15315,0
7824,1
3726,-1
6147,-1
6210,-1
7845,0
3377,0
5055,0
17088,0
10728,1
15128,1
19,-1
9847,-1
7984,-1
2938,0
16620,-1
12813,1
5985,0
17539,1
11952,0
5880,-1
8529,-1
11363,0
14438,-1
11074,1
4978,0
3423,-1
5092,-1
13265,-1
17411,0
14139,0
17413,1
4235,1
480,-1
1368,1
5840,0
14376,1
11445,-1
10535,1
1689,0
16437,0
14685,0
9968,-1
11161,0
6349,0
16742,-1
3456,0
8708,0
11083,0
7129,0
11486,-1
11436,0
7740,1
13640,-1
13745,1
7476,0
2703,1
4029,1
3452,0
6445,0
11072,1
2327,1
12387,0
7612,0
2755,0
7843,1
13806,1
9180,0
13451,1
2188,0
3622,-1
10322,1
8740,-1
6950,1
6341,-1
3904,0
12639,0
12076,0
15251,-1
879,0
2645,-1
4827,1
8063,-1
6528,1
909,0
11005,0
8185,-1
9912,0
9453,1
7382,-1
630,0
8237,1
3182,0
17298,0
5253,1
10871,0
6261,-1
6358,1
10060,0
2504,-1
11708,-1
12460,1
5278,1
6072,1
6822,0
5830,0
12599,0
2318,-1
9731,0
16878,1
594,1
6503,-1
15160,-1
5258,-1
5638,0
10645,0
1410,-1
8647,-1
13457,-1
13440,1
15591,-1
9975,0
12608,-1
14058,-1
9305,0
3235,-1
11464,-1
10507,1
8882,1
9573,0
7217,-1
14751,-1
1655,1
14408,0
15343,-1
7840,-1
7515,-1
2169,-1
2120,-1
2459,0
9617,0
15501,1
5317,0
11996,1
9852,0
14893,-1
13497,0
5137,0
14557,0
14502,1
9611,0
3657,1
4352,0
10105,0
809,1
14045,1
12333,1
1586,1
8104,0
13028,-1
16499,0
5310,-1
3074,-1
16282,0
2257,0
15478,0
15676,-1
