,title,precision,recall,weekly mean,weekly std,yearly mean,yearly std,SR,alpha,t(alpha),beta,t(beta),F-statistic,R-squared
0,Naive Bayes,44.52%,64.74%,-0.49%,4.34%,-19.56%,25.74%,-0.92,-0.12%,-1.94,0.18,4.02,16.18,1.24%
1,RNN imbalanced classes,53.66%,73.68%,0.31%,4.38%,12.13%,25.95%,0.31,0.06%,0.88,-0.05,-0.99,0.98,0.08%
2,RNN 3 classes,53.47%,59.76%,0.23%,5.31%,6.57%,25.35%,0.10,0.04%,0.56,-0.19,-3.67,13.47,1.04%
3,RNN with attention,51.55%,62.46%,0.32%,4.65%,12.58%,31.83%,0.27,0.06%,1.05,-0.33,-7.29,53.13,3.85%
4,FinBert,58.93%,6.57%,0.62%,5.82%,32.16%,65.91%,0.43,0.11%,1.42,0.14,2.42,5.87,0.54%
5,XGBoost 20 features,52.67%,68.35%,0.43%,4.64%,19.52%,39.99%,0.39,0.08%,1.38,-0.23,-5.19,26.93,1.99%
6,Catboost 100 features,55.30%,68.67%,0.88%,5.18%,43.11%,60.73%,0.64,0.17%,2.82,-0.22,-4.98,24.83,1.85%
7,Catboost + XGBoost,56.37%,32.40%,0.89%,5.75%,40.91%,53.70%,0.69,0.18%,2.43,-0.23,-4.29,18.43,1.38%
8,RNN + Attention,56.73%,23.58%,0.67%,6.05%,27.97%,33.75%,0.71,0.13%,1.67,-0.32,-5.48,30.05,2.28%
9,Catboost + Attention,57.05%,27.36%,0.80%,6.54%,40.70%,65.73%,0.56,0.16%,2.00,-0.47,-7.84,61.53,4.56%
10,XGBoost + FinBert,68.81%,2.31%,0.90%,5.62%,38.75%,49.07%,0.71,0.16%,2.35,0.11,2.30,5.29,0.49%
